orig, dest, cnt
fra_79_21_gadm2-8,rus_188_40_gadm2-8,1
fra_79_21_gadm2-8,tca_237_4_gadm2-8,3
fra_79_21_gadm2-8,tur_235_41_gadm2-8,62
fra_79_22_gadm2-8,esh_253_4_gadm2-8,17
fra_79_2_gadm2-8,ner_162_5_gadm2-8,23
fra_79_2_gadm2-8,tza_227_2_gadm2-8,4
fra_79_2_gadm2-8,usa_244_19_gadm2-8,31
fra_79_3_gadm2-8,fra_79_13_gadm2-8,6
fra_79_3_gadm2-8,usa_244_41_gadm2-8,0
fra_79_4_gadm2-8,bel_23_1_gadm2-8,3075
fra_79_7_gadm2-8,usa_244_24_gadm2-8,8
fro_76_6_gadm2-8,nor_169_19_gadm2-8,27
fsm_146_4_gadm2-8,gum_93_4_gadm2-8,77
gab_83_1_gadm2-8,che_223_25_gadm2-8,5
gab_83_1_gadm2-8,civ_57_4_gadm2-8,2
gab_83_1_gadm2-8,isr_111_7_gadm2-8,2
gbr_242_1_gadm2-8,col_53_18_gadm2-8,3
gbr_242_1_gadm2-8,cpv_43_16_gadm2-8,15
gbr_242_3_gadm2-8,cmr_41_5_gadm2-8,19
gbr_242_3_gadm2-8,swe_222_15_gadm2-8,1376
gbr_242_3_gadm2-8,tha_228_19_gadm2-8,5
gbr_242_3_gadm2-8,tha_228_65_gadm2-8,3
gbr_242_3_gadm2-8,ukr_240_12_gadm2-8,135
gbr_242_4_gadm2-8,irl_109_16_gadm2-8,4
gbr_242_4_gadm2-8,usa_244_14_gadm2-8,19
geo_85_12_gadm2-8,bra_33_8_gadm2-8,1
